text,claim
"It seems like a reasonable question, but . . . .
Self-driving cars are an aspirational technology, mostly because of the environment that they would have to traverse.
Those of us who are older think of the “Johnny Cab” from Total Recall:
Or, more recently, the cars from the disappointing second season of Westworld:
We would all LOVE to have a fantastic, safe, luxurious living room on wheels that will take us to our destination in style, or let us nap, or watch movies, or whatever.
It sounds GREAT!!!!!!!!!!!!!!
Some of us, like a grumpy-sounding other answerer, love driving and would refuse to give up our autonomy or our perceived sense of control.
Those people are the problem.
What I mean is, autonomous cars would be great, IF THEY WERE THE ONLY CARS OUT THERE.
But they aren’t.
Assholes are real, and they are everywhere.
The utopia of a safe, efficient, fast-flowing, autonomous driving environment is a dystopia to the hordes of self-involved, me-first, freedum-loving drivers who would resist it with every fiber of their being.
And that is a fact. Whether we think it’s wrong or not, and I see both sides of the coin, it will never happen in our lifetimes.
We will NEVER have autonomous driving cars that are fast and efficient because of needed caution around reckless and inattentive drivers, unknown obstacles, and limitations of “artificial intelligence”.
You see, AI is great, but it is fallible, because it exists in a fallible world, and the algorithms that it creates were initially created by humans. And humans are idiots.","It seems like a reasonable question
Self-driving cars are an aspirational technology
What I mean is, autonomous cars would be great, IF THEY WERE THE ONLY CARS OUT THERE
We will NEVER have autonomous driving cars that are fast and efficient"
"Looking forward to it. I love to drive on a nice day with little or no traffic. At all other times, I'll have my car drive for me.",I love to drive on a nice day with little or no traffic
"Yes, but not if it's built by Google.  Their development style is geared toward ""productivity"" and not toward rigorous testing and safety controls.  If they can't make a mobile phone OS that allows me to consistently answer phone calls then how likely is it that their car will be bug free?","Yes, but not if it's built by Google."
"Yes, I will. I'd love to have a chauffer, even if it is a robot. As it has been said, my productivity would be upgraded a lot not having to drive, park, stay in the traffic for tons of hours (and not being able to talk on the phone, use the computer, read...)
I must comment that I rather board a robotic car made by Google to one made by Microsoft or Apple.  At least there would be tons of experts and geniuses....err.. mechanics that can fix it anywhere or, even better, I could plug it (or the car could plug itself) to recharge anywhere.
One curious analogy of this is that currently most of us board commercial planes that are actually flown by a computer, most of the time... specially when flying at high altitude,  leveled flight and over the oceans... and nobody complaints..or maybe they don't even suspect that the pilots are not really driving the plane on many instants during the trip.
But my definite answer is yes, I will.","Yes, I will.
I must comment that I rather board a robotic car made by Google to one made by Microsoft or Apple
I could plug it (or the car could plug itself) to recharge anywhere
my definite answer is yes, I will"
I most definitely would. I think that this technology has the potential to be very safe and convenient.,I think that this technology has the potential to be very safe and convenient
"I hate the idea of a self driving car. I love to drive! I buy cars because I like driving them and look at them as big expensive toys. I find driving to be relaxing and fun. I don’t buy cars just to get me to work and back. That being said, a self driving pickup truck would be helpful at times when I’m towing my off road toys across the country on vacation. 12 hour days behind the wheel is exhausting and that’s something I’d give up. In general though, I’ll keep driving my own cars.",I hate the idea of a self driving car
"Yes.
Currently self-driving cars are as dangerous as an average driver (we can’t have the exact fatality rate per mile driven, because for Tesla a sample size that includes only two fatality is too small, but we have enough data for being sure that it can’t be 10 time more dangerous).
I have already taken a ride with a driver more dangerous than the average driver (somebody with 3 non-lethal accidents during the last 2 years, one of them having leaded to the total destruction of a car).
I am riding a bike. The per-mile fatality of a bike is far above the per-mile fatality of below-average car drivers.",Yes
"Absolutely! Self driving cars are safer, and could even sometimes serve the job of multiple cars, by serving as a taxi of sorts, picking people up, dropping them off, and possibly even recharging all autonomously. It’s an exciting concept.",Absolutely!
"I don't think I could compete with the fleets of self-driving cars to be owned and operated by Waymo, Lyft and Uber.
The days of buying a car costing many thousands of dollars and letting it sit most of the day and all night are coming to an end for all but the rich and foolish. What could be better than having a vehicle that is available on demand that fuels itself, never needs a place to park, and costs only when you need it?
Some may consider driving fun but only sometimes. Highway driving? Mindnumbingly boring. City driving in heavy traffic. That's fun?
Consider traveling long distances straight through without having to overnight in an expensive motel. How about letting the vehicle keep up with stop-and-go traffic while you can be online reading or communicating?
Need a designated driver? Nope. Got a “lead” foot that's cost you moving violations? No more. Worried about having the keys taken away when you grow old and feeble? No problem.
Self-driving cars will be as convenient as having your own chauffeur at the price of public transportation.","I don't think I could compete with the fleets of self-driving cars to be owned and operated by Waymo, Lyft and Uber"
"No, there is NO reason to. I’ll subscribe to a ride share program similar to Uber, that way when I fly to another city I push a button and a car will pick me up curb side. if I own an AV it will be back home doing me no good.","No, there is NO reason to."
"Yes, as soon as they work and are available at a reasonable price.
3 hours commuting a day will encourage you to try anything.","Yes, as soon as they work and are available at a reasonable price."
"Yes, definitely. There is so much tedium and boredom I could avoid if I didn’t have to manually guide the vehicle down the road all the time within the traffic law guidelines.","Yes, definitely."
"Yes! As cars become more expensive, ride sharing/Uber/self driving will become more prevalent. Self driving cars save lives. One million people die/year in vehicle crashes. Even if 50% less people were killed, it would be worth it.",Yes!
"Maybe. It could be nice on long trips, but I enjoy driving and don't know if I would like giving up the control. It is a major trust issue. I know computers fail, lock up, get corrupted, get hacked, and software designers cannot think of every scenario. People will die, accidents will happen,and as long as I feel more confident in my skills, I will keep driving.",Maybe.
"I already do own what will some day (hopefully) become a self-driving car.
But just because I own it, doesn’t mean I would (or would not) use its self driving features.
Is that really your question? Would I use a self-driving car?
If I was in the position of never being near a self-driving car, or one with driver assistance features (like my car currently has), then yes, I would be pretty nervous to ride in a self-driving car if one suddenly plopped down in front of me. At a bare minimum I would want to see a lot of data that shows statistics like how often they are involved in accidents, or probably get a lot of anecdotal stories from friends and other early adopters on how their experiences went.
However, I am lucky enough to be in a position where I have a car (a Tesla Model 3) that has driver assistance features such as adaptive cruise control and lane keeping/changing that are evolving over time, and just like having ridden as a passenger with my teenage sons who were learning to drive, and being quite nervous at times, I’ve had the opportunity to see how the car has gradually improved, while staying alert and ready to take control if needed.","just because I own it, doesn’t mean I would (or would not) use its self driving features"
Yes - in a few years it might be safer than me driving. And I can blame the accident on the car.,Yes - in a few years it might be safer than me driving.
"Nope.
I like driving. Heck, when I’m driving on the highway no matter how long the trip is, I won’t use the cruse control.
Next time that you are driving around, notice how many sports cars are out there. Do you think that person bought the vehicle so that he can be driving around in it or that he bought it to drive?",Nope
"Hi there..
My answer is NO!
They havent fixed all the kinks and corks out yet..there already had been more than 2 deaths because the car ran over a pedestrian..the one that happened in my state arizona there was a human sitting up front monitering this autonomous car and still ran over that person..
One day it will be everywhere but we arent ready to 100% trust a selfless driving car..
My prediction is that you will see flying DRONES delivering your pizza before u see selfless driving cars..
Sean",My answer is NO!
"I program industrial robots for a living. We test the robot cells in any way we can think of. Bad products, bad sensors, bad air supply. We try running them into and over the safety fence. We try and make them restart themselves, when being reset, or when something goes wrong. We use the sensors we have and the robot movement to scan the work area, before starting to work again. If we cannot deduce what's happening we ask the operator. Despite this. The controlled work area, weeks of testing of a well-known system. The operators find a way to introduce errors we never dreamt off before. Newer have seen before. Not even on the last clone of this system. The old saying goes.. if I try and make something idiot proofs, the world just invents a better idiot.. so no. I won't drive anything self driving. I develop software as a living.",I won't drive anything self driving
"Would you buy a car that drives itself?
You mean a Tesla with a Full Self Driving option?
If I could afford it, you can bet I would.
Let’s admit - in 90% of all cases driving is tiresome (driving at night), frustrating (traffic jams) or boring (freeways).Only 10% on some interesting highways may be exciting.
I would like to keep those 10%.
But the remaining 90%? Auto, you are welcome to take over.","If I could afford it, you can bet I would"
"Self-driving vehicles that don’t need a steering wheel or human intervention will not exist in the lifetime of anyone reading this. The technology just isn’t there, especially when you factor in poor driving conditions like bad weather and nasty roads not to mention dangerous or impaired human drivers operating nearby. The value of the driver in getting to a destination without incident is grossly underestimated in the mind of those that fantasize about robotic vehicles.
I already own a 2019 Tesla with the $8000 autopilot upgrade and it’s more of a novelty with some interesting safety and autonomous features but lightyears away from actual self-driving where you can work or sleep on your commute. At least, this push toward autonomy is making driving less dangerous as most new cars are incorporating their own concoctions of safety and robotic systems as a layer of collision avoidance.",Self-driving vehicles that don’t need a steering wheel or human intervention will not exist in the lifetime of anyone reading this
"Certainly. I did. I enjoy how relaxed one can be while traveling on a highway. Of course, the driver has to always be alert because the software on my Tesla is Beta stage.",Certainly. I did
No. It is too early in the technology to be able to trust the self-driving car.,No. It is too early in the technology to be able to trust the self-driving car.
"Yes, because I'm legally blind and would like to be able to travel freely without having to wait for a bus or pay an arm and a leg for Uber or have to take up a good half of my day, waiting on para-transit.",Yes
"Yes, I would. I trust computers a lot mor than I trust people, at least for tasks like driving. I think it would be much safer.","Yes, I would."
"I would. I think by the time I have the opportunity to drive one, the technology will be so refined that it would be even more acceptable than it is now.",I would
"Absolutely not! People's brains are already on autopilot enough as it is. Getting machines to do our thinking for us is taking humanity down a slippery (and potentialy dangerous) slope, from which there may not be any return... Navigating is a skill and where will people be when computers fail or something else goes wrong? There's no surer way to breed an even more dependent and helpless generation.
As Yoda says, your mind should be on: ""where you are, what you are doing"".",Absolutely not!
"For what ?
Haha, so many people answer but don't even take the pain to understand the question. If it is to be driven from point A to B in the same way you be driven by a cab, yes, most people would. When you take the cab, the driver is actually transparent (most of the time).
For enjoying the pleasure of driving... seriously not. Well, that also depends on how you see the car. For example, a mainland chinese will buy a S500 but this is just to be seen in a car not even to enjoy driving such a good car. Unfortunately Mercedes, BMW and all these car maker care more about how much cash they make than about the feeling behind driving their car.
All in all, well, i would still prefer to drive to drive me car on short distance because to me, driving is a pleasure. It's a time during which my brain is forgetting about all other things. I don't see where else i could get this time.
And well, self driving car make little sense, why don't we just focus on more efficiently moving the persons instead of just thinking ok... they gonna have free time so we will make sure they use this time to spend cash or attention on our services.","All in all, well, i would still prefer to drive to drive me car on short distance because to me, driving is a pleasure."
"It's safer than me driving, *even* at this point.
Here's something that will fascinate anyone interested in this question:
Google’s Driver-less Car and Morality
The New Yorker piece talks abotu machine ethics and mortality.  Should your car save you in an accident, or the bus full of students it will inevtiably hit?  A car will need to have ethics in place.... and I assure you this will get even more interesting than it is now. Cheers!","It's safer than me driving, *even* at this point"
Nope. Absolutely not! I like to drive and i don't trust technology to make decisions for me. I think it's fine for elderly and infirm people. But along with driverless cars comes constant software updates and software crashes that can leave you stranded. No thanks,Nope. Absolutely not!
"You mean, like, self-driving car?
Oh, yes, please! I can imagine myself sitting in the front passenger’s seat, either enjoying the view outside, or sit back, lean my seat and have my laptop on, either doing office work, playing or just browsing the net using my mobile hotspot.
I enjoy driving, though. I enjoy driving through traffic jams, I enjoy driving fast on empty road in early morning and late night. But I’d love it for someone - or in this case, something - to drive me around, giving me a chance to do things I can’t do while I’m driving. It feels awesome.
I always fantasize it like this: “Hey Cortana, navigate to the nearest shopping mall!” “Here we go!”
Marvelous.","Oh, yes, please!"
"Definitely not.
But I see a future that most of the time no one will be allowed to drive themselves, I hope I'm to old to drive by then.
I drive 30+ hrs every week and are driven 30 hrs per week by trainee drivers. In my life I've driven over 2,500,000 km in assorted vehicles and right now I own 12 vehicles.",Definitely not.
"I don’t. I value people’s lives more than the effort I lose having to drive myself. If people like to be lazy and not drive they should still take responsibility if they were the one who chose where to go. I also think there should always be a person in a car if it’s operating on a public road for the safety of the public when accidents occur. I’m glad to live in a free society and can drive where I want to and only share the road with other humans not empty cars sitting in traffic around us.
I’m anonymous because some people think cars driving without humans in them is somehow normal. I like knowing what the person looks like who runs into me. I think the whole idea of cars without people in them driving in public is creepy and kinda weird, like anonymous people on Quora.",I don’t. I value people’s lives more than the effort I lose having to drive myself.
"Yes, but not always.
Nobody likes to drive in traffic, it’s boring, slow and a general waste of time since you can’t do pretty much anything else while driving. I would be very glad if a self driving car could take care of it while I read a book or check emails in the back seat. I’m quite skeptical self driving cars will soon be able to do this kind of urban driving, the problem is that it is necessary to handle very complex situations.
Same goes for highway driving: you just have to keep your foot on the gas and occasionally correct your trajectory, I would really appreciate if a computer could do that for me.
Sometimes however I like speeding a bit or going around a corner fast enough to feel some serious centrifugal force, you know, just to feel some adrenaline. Of course I know this behavior is foolish and potentially dangerous but it’s hard to resist. I also enjoy driving on beautiful roads with lots of corners and suggestive landscapes.
Those are the funny parts of driving and I’m not willing to give them up.","Yes, but not always."
"Not at the time of answering.
At the moment they are in legal limbo regarding rights to use the roads and liabilities in the event of an accident. Until that’s sorted in this country I won’t be using one.",Not at the time of answering.
"Yes. There are times when I’m happy not to be the driver, and while self-driving cars will have different failure modes than cars with human drivers, I’m convinced that due to faster reaction times and less likelihood of distraction that driverless cars will eventually be overall safer than those driven by the average U.S. driver.
I also think that the technological changes to make that happen will be in place well before social acceptance.",Yes
"Personally, I would never own a self driving car. The initial outlay will be way out of my range, and the ongoing maintenance will be stuff I am not truly capable of any longer. Even worse, to my way of thinking, is the fact that you will need a full computer testing assembly just to check out what just flashed a failure code, then to get the replacement part fully engaged and synchronized with the system.",I would never own a self driving car
"I may own a Tesla some day, but I would likely not use the autonomous / semi-autonomous functions. Even if these functions are accurate 99.9% of the time, when hurtling down the road at speed, that is not good enough. I don't like a system that works most of the time, and then it is expected that I can take over when the system fails.","I may own a Tesla some day, but I would likely not use the autonomous / semi-autonomous functions."
"Not yet. First of all a fully autonomous vehicle is not available yet. Secondly, I am not ready to trust the software to drive a vehicle for me. Finally, the first few are going to be so extremely cautious that they will hardly move and it will just frustrate me.",Not yet
"Not at this point. They need work. There have been several incidents where unmanned self driving cars have hit pedestrians with multiple deaths.
If the technology improves and the price is reasonable, I would love one. Given my age, not banking on it.",Not at this point
"NEVER!! As I’ve said many times: My plane doesn’t have an autopilot, and I don’t want one! Why would I want a car with autopilot?
Just happens that I enjoy driving, and I’m not giving it to a machine!!",NEVER!!
"Well, I wouldn’t now, but statistically, 90% of accidents are caused by human error. There have been only a handful of accidents and almost zero fatalities by self-drive cars. When that happens, everyone screams bloody murder. But when 100,000 people die from manually driven cars each year around the world, no one says “We have to ban self-drive cars!” It’s just perception.","Well, I wouldn’t now, but statistically, 90% of accidents are caused by human error"
Yes. I have one already that handles most driving tasks. Someday I’ll get too old to drive myself. Having a self-driving car will be a huge benefit. I have an adult child with disabilities that prevent driving. He can’t wait until self-driving cars allow for unlicensed drivers.,"Yes
Having a self-driving car will be a huge benefit"
"I don’t think I ever would. Driving has been one of the great pleasures of my lief since the day I got my license on my 16th birthday. Adjusting speed to accommodate a curve or a straightway, downshifting to assist the braking effort, (never owned an automatic, never will) going through the gears is a treat for the senses: sound, the roar the V-8, (never less than V-8), sight - the blur of countryside flying by, olfactory- the smell of the exhaust when you downshift, touch- the feel of that wooden steering wheel, smooth with the patina of years of oils from your hands and taste -that sour taste in your mouth when you almost miss a curve and the fright is more than you experienced in years. A self-driving car? Never!",I don’t think I ever would
"I guess that depends: are we talking about the cars we have today, or some mythical future car that can actually do this?
I can see situations where a self-driving car would be awesome, like if I’m sick and have to pick the kid up from school, or I want to go on a bender.
But the reality is we are many, many, many years from that. In the meantime, we have utterly useless systems that are butthole-clenching bad at even basic tasks. The cruise control in my car, the really smart traffic-aware one, randomly stomps the brakes from time to time. On the highway. At full speed. For no reason. It’s so scary I generally only use it on small roads when there’s zero cars behind me. And the “full” driving? Go type that into youtube.
So no, I wouldn’t pay a dime for it in the current state.","I guess that depends: are we talking about the cars we have today, or some mythical future car that can actually do this?"
"Yes, I really would like to have a self-driving car. 95% of my time spend driving is to get from A to B generally in pretty heavy traffic. I’d much rather have my car do that for me leaving me free to prepare for a meeting, eat my breakfast or read a book.
Or just take a nap. I used to leave home at 6 am to get to work at 7 am. I would have loved to be able to sleep that hour.
Now I do love driving when it’s just for the fun of it. So I would still want to be able to drive myself. But like I said, most of the time spend driving is not fun, it’s necessary. Yes, I would want a self-driving car.","Yes, I really would like to have a self-driving car"
"I don’t think so. They have to show that they are reliable even in bad weather or road conditions first. And then I don’t want to be held responsible for mistakes the car makes. No supervision by the driver, no taking over. When the car drives, it drives. When it causes an accident, not my business any more. When it runs over pedestrians, not my business. No discussions, it’s either self-driving or nothing at all.
And I think it’s not worth a 10,000$ extra for me.",I don’t think so
